GEOID,NAME
26049000500,"Census Tract 5, Genesee County, Michigan"
26049000600,"Census Tract 6, Genesee County, Michigan"
26049000700,"Census Tract 7, Genesee County, Michigan"
26049000800,"Census Tract 8, Genesee County, Michigan"
26049000900,"Census Tract 9, Genesee County, Michigan"
26049001000,"Census Tract 10, Genesee County, Michigan"
26049001100,"Census Tract 11, Genesee County, Michigan"
26049001200,"Census Tract 12, Genesee County, Michigan"
26049001300,"Census Tract 13, Genesee County, Michigan"
26049001400,"Census Tract 14, Genesee County, Michigan"
26049001500,"Census Tract 15, Genesee County, Michigan"
26049001600,"Census Tract 16, Genesee County, Michigan"
26049001700,"Census Tract 17, Genesee County, Michigan"
26049001800,"Census Tract 18, Genesee County, Michigan"
26049001900,"Census Tract 19, Genesee County, Michigan"
26049002000,"Census Tract 20, Genesee County, Michigan"
26049002200,"Census Tract 22, Genesee County, Michigan"
26049002300,"Census Tract 23, Genesee County, Michigan"
26049002400,"Census Tract 24, Genesee County, Michigan"
26049002600,"Census Tract 26, Genesee County, Michigan"
26049002700,"Census Tract 27, Genesee County, Michigan"
26049002800,"Census Tract 28, Genesee County, Michigan"
26049002900,"Census Tract 29, Genesee County, Michigan"
26049003000,"Census Tract 30, Genesee County, Michigan"
26049003100,"Census Tract 31, Genesee County, Michigan"
26049003200,"Census Tract 32, Genesee County, Michigan"
26049003300,"Census Tract 33, Genesee County, Michigan"
26049003400,"Census Tract 34, Genesee County, Michigan"
26049003500,"Census Tract 35, Genesee County, Michigan"
26049003600,"Census Tract 36, Genesee County, Michigan"
26049003700,"Census Tract 37, Genesee County, Michigan"
26049003800,"Census Tract 38, Genesee County, Michigan"
26049004000,"Census Tract 40, Genesee County, Michigan"
26049010110,"Census Tract 101.10, Genesee County, Michigan"
26049010111,"Census Tract 101.11, Genesee County, Michigan"
26049010112,"Census Tract 101.12, Genesee County, Michigan"
26049010113,"Census Tract 101.13, Genesee County, Michigan"
26049010114,"Census Tract 101.14, Genesee County, Michigan"
26049010115,"Census Tract 101.15, Genesee County, Michigan"
26049010201,"Census Tract 102.01, Genesee County, Michigan"
26049010202,"Census Tract 102.02, Genesee County, Michigan"
26049010304,"Census Tract 103.04, Genesee County, Michigan"
26049010305,"Census Tract 103.05, Genesee County, Michigan"
26049010501,"Census Tract 105.01, Genesee County, Michigan"
26049010502,"Census Tract 105.02, Genesee County, Michigan"
26049010503,"Census Tract 105.03, Genesee County, Michigan"
26049010504,"Census Tract 105.04, Genesee County, Michigan"
26049010603,"Census Tract 106.03, Genesee County, Michigan"
26049010604,"Census Tract 106.04, Genesee County, Michigan"
26049010610,"Census Tract 106.10, Genesee County, Michigan"
26049010700,"Census Tract 107, Genesee County, Michigan"
26049010810,"Census Tract 108.10, Genesee County, Michigan"
26049010811,"Census Tract 108.11, Genesee County, Michigan"
26049010812,"Census Tract 108.12, Genesee County, Michigan"
26049010813,"Census Tract 108.13, Genesee County, Michigan"
26049010910,"Census Tract 109.10, Genesee County, Michigan"
26049010911,"Census Tract 109.11, Genesee County, Michigan"
26049010912,"Census Tract 109.12, Genesee County, Michigan"
26049011010,"Census Tract 110.10, Genesee County, Michigan"
26049011101,"Census Tract 111.01, Genesee County, Michigan"
26049011102,"Census Tract 111.02, Genesee County, Michigan"
26049011209,"Census Tract 112.09, Genesee County, Michigan"
26049011210,"Census Tract 112.10, Genesee County, Michigan"
26049011211,"Census Tract 112.11, Genesee County, Michigan"
26049011212,"Census Tract 112.12, Genesee County, Michigan"
26049011213,"Census Tract 112.13, Genesee County, Michigan"
26049011214,"Census Tract 112.14, Genesee County, Michigan"
26049011301,"Census Tract 113.01, Genesee County, Michigan"
26049011302,"Census Tract 113.02, Genesee County, Michigan"
26049011401,"Census Tract 114.01, Genesee County, Michigan"
26049011402,"Census Tract 114.02, Genesee County, Michigan"
26049011502,"Census Tract 115.02, Genesee County, Michigan"
26049011503,"Census Tract 115.03, Genesee County, Michigan"
26049011505,"Census Tract 115.05, Genesee County, Michigan"
26049011508,"Census Tract 115.08, Genesee County, Michigan"
26049011601,"Census Tract 116.01, Genesee County, Michigan"
26049011610,"Census Tract 116.10, Genesee County, Michigan"
26049011710,"Census Tract 117.10, Genesee County, Michigan"
26049011711,"Census Tract 117.11, Genesee County, Michigan"
26049011712,"Census Tract 117.12, Genesee County, Michigan"
26049011713,"Census Tract 117.13, Genesee County, Michigan"
26049011714,"Census Tract 117.14, Genesee County, Michigan"
26049011800,"Census Tract 118, Genesee County, Michigan"
26049011901,"Census Tract 119.01, Genesee County, Michigan"
26049011902,"Census Tract 119.02, Genesee County, Michigan"
26049012003,"Census Tract 120.03, Genesee County, Michigan"
26049012006,"Census Tract 120.06, Genesee County, Michigan"
26049012007,"Census Tract 120.07, Genesee County, Michigan"
26049012008,"Census Tract 120.08, Genesee County, Michigan"
26049012009,"Census Tract 120.09, Genesee County, Michigan"
26049012100,"Census Tract 121, Genesee County, Michigan"
26049012201,"Census Tract 122.01, Genesee County, Michigan"
26049012202,"Census Tract 122.02, Genesee County, Michigan"
26049012310,"Census Tract 123.10, Genesee County, Michigan"
26049012311,"Census Tract 123.11, Genesee County, Michigan"
26049012401,"Census Tract 124.01, Genesee County, Michigan"
26049012402,"Census Tract 124.02, Genesee County, Michigan"
26049012501,"Census Tract 125.01, Genesee County, Michigan"
26049012503,"Census Tract 125.03, Genesee County, Michigan"
26049012504,"Census Tract 125.04, Genesee County, Michigan"
26049012601,"Census Tract 126.01, Genesee County, Michigan"
26049012602,"Census Tract 126.02, Genesee County, Michigan"
26049012603,"Census Tract 126.03, Genesee County, Michigan"
26049012702,"Census Tract 127.02, Genesee County, Michigan"
